"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
1301,2371,"赦","假開三去禡書","6376 0171","ṣô 3","ṣə 3","ṣô 3","sə 3","sô 3","se 3","śî 3","so 31","sei 31","ṣô 31","śio 31","sa 31","sa 3","šɛ 31","sia 31","sia 31","sie 31","so 3","šie 3"
1302,2375,"軟","山合三上獼日","6516 1953","ẓuan 2","luã 2","vã 2","zuä̃ 2","yan 2","zuan 2","luõ 2","ńiö 32","ńy 22","yẽ 2","uĩ 2","ńyɔn 2","ńiɔn 11","jyn 22","ʒuan 2  (lit.); luan 2  (lit.); nŋ 2","nɨŋ 21","luɔŋ 2","ńyö 32","žyen 2"
1303,2378,"通","通合一平東透","6639 2623","thuŋ 11","thuŋ 11","thoŋ 11","thuŋ 1","thoŋ 11","thoŋ 11","tɔuŋ 11","thoŋ 11","thoŋ 11","thoŋ 11","thaŋ 11; tən 11","thuŋ 11","thuŋ 11","thuŋ 11","thɔŋ 11 (lit.); thaŋ 11","thoŋ 11","thouŋ 11 (lit.); thöyŋ 11","thoŋ 1","thuŋ 1"
1304,2380,"連","山開三平仙來","6647 1813","lian 12","liã 12","liã 12","liɛ 1","nian 12","nian 12","lî̃ 12","lî 12","li 12","niẽ 12","nî̃ 12","liɛn 31","liɛn 12","lin 12","lian 12 (lit.); lĩ 12","liəŋ 12","lieŋ 12","lî 32","lien 12"
1305,2381,"速","通合一入屋心","6643 0844","su 3","su 11","sou 11","suəʔ 41","sou 12","śyo 12","sɔʔ 4","soʔ 41","səu 41","sôu 4","sû 12","suk 41","suk 41","čhuk 41","sɔk 41","sok 41","souʔ 41","soʔ 4","su 42"
1306,2386,"造","效開一上皓從","6644 1338","cau 3","cɔ 3","chau 3","cau 3","chau 3","chau 3","cɔ 3","zä 32","zз 22","chau 31","ʒə 32","chau 32","chau 3","čou 32","co 32","cau 22","cɔ 32","zɔ 32","cau 3"
1307,2387,"透","流開一去候透","6631 1509","thou 3","thou 3","thou 3","thou 3","thou 3","thəu 3","thôɨ 11","thöy 31","thau 31","thôu 31","thie 31","thɛu 31","thɛu 3","thau 31","thɔ 31 (lit.); thau 31","thau 31","tau 31","thôɨ 3","thou 3"
1308,2388,"逢","通合三平鍾奉","6646 2428","fəŋ 12","fəŋ 12","fəŋ 12","fəŋ 1","foŋ 12","foŋ 12","fɔuŋ 12","voŋ 12","ɦoŋ 12","xoŋ 12","ɣaŋ 12; ɣən 12","фuŋ 31","fuŋ 12","fuŋ 12","hɔŋ 12","hoŋ 12","xuŋ 12","voŋ 32","fuŋ 12"
1309,2390,"逛","宕合三去漾見","6640 2385","kuaŋ 3","kuaŋ 3","kuaŋ 3","kuã̲ 3","kuaŋ 3","kuaŋ 3","kuâŋ 3","kua̲ŋ 31","","kuan 31","gaŋ 12","kuɔŋ 31","kuɔŋ 3","kuāŋ 32","kɔŋ 31","kuaŋ 31","kuɔŋ 31","kuã̲ 3",""
1310,2391,"途","遇合一平模定","6634 0809","thu 12","thu 12","thou 12","thu 1","thou 12","thu 12","thu 12","dəu 12","do̲y 12","tôu 12","dəu 12","thu 12","thu 12","thou 12","tɔ 12","thu 12","tu 12","tou 32","thu 12"
1311,2392,"部","遇合一上姥並","6752 0736","pu 3","pu 3","pu 3","pu 3","pu 3","pu 3","pu 3","bu 32","bu 22","pu 31 (lit.); pu 32","bu 32","phu 32","phu 3","pou 32","pɔ 32","pou 22","puɔ 32","pu 32","pu 3"
1312,2393,"郭","宕合一入鐸見","6751 0298","kuo 11","kuə 11","kuo 11","kuəʔ 41; kuaʔ 41","ko 12","kue 12","kuâʔ 4","koʔ 41","kuɔ 41","ko 4","kû 12","kuɔk 41","kuɔk 41","kuɔk 43","kɔk 41","kueʔ 41","kuɔʔ 41","koʔ 4","kuau 42"
1313,2394,"都","A: 遇合一平模端; B: 遇合一平模端","A: 6757 0793; B: 6757 1499","A: tu 11; B: tou 11","A: tu 11; B: tou 11","A: tou 11; B: tou 11","A: tu 1; B: tu 1","A: tou 11; B: tou 11","A: tu 11; B: təu 11","A: tu 11; B: tu 11","A: təu 11; B: təu 11","A: to̲y 11; B: to̲y 11","A: tôu 11; B: tôu 11","A: təu 11; B: təu 11","A: tu 11; B: tu 11","A: tu 11; B: tu 11","A: tou 11; B: tou 21","A: tɔ 11; B: tɔ 11","A: tou 11; B: tou 11","A: tu 11; B: tu 11","A: tu 1; B: tu 1","A: tu 1; B: tu 1"
1314,2396,"野","假開三上馬以","6851 0376","ie 2","ie 2","ie 2","iɛ 2","ie 2","ie 2","î 2","ia̲ 32","ɦi 22","ie 2  (lit.); ia 2","io 2","ia 2","ja 2","jɛ 22","ia 2","ia 21","ia 2","ia 32","ie 2"
1315,2400,"釣","效開四去嘯端","6860 1423","tiau 3","tiɔ 3","tiau 3","tiau 3","tiau 3","tiau 3","tiɔ 3","tiä 31","tiɛ 31","tiau 31","tiə 31","tiɛu 11","tiau 3","tiu 31","tiau 31 (lit.); tio 31","tiəu 31","tieu 31","kôɨ 1","tiau 3"
1316,2401,"釧","山合三去線昌","6861 1949","c̣huan 3","c̣huã 3","pfhã 11","chuä̃ 3","chuan 11","chuan 11","chuõ 3","chö 31","ćhyoŋ 31","ćhyẽ 31","thuĩ 31","chɔn 11","chɔn 3","čhyn 31","chuan 31","chueŋ 11","chuɔŋ 31","chö 1","čhyen 3"
1317,2403,"閉","蟹開三去祭幫","7028 0538","pi 3","pi 3","pi 3","pei 3","pi 3","pi 3","pəi 3","pi 31","pei 31","pei 31","pi 31","pi 31","pi 3","pai 31","pi 31","pi 22","pie 32","pi 3","pi 3"
1318,2404,"陪","蟹合一平灰並","7111 1146","phei 12","phei 12","phei 12","phei 1","phei 12","phei 12","phəi 12","be̲ 12","bai 12","pei 12","bie 12","phəi 12","phi 12","phui 12","pue 12","pue 12","puei 12","pe̲ 32","phei 12"
1319,2405,"陵","曾開三平蒸來","7117 2549","liŋ 12","liŋ 12","liŋ 12","liŋ 1","nin 12","nin 12","lĩ 12","lin 12","leŋ 12","nin 12","nin 12","lin 31","lin 12","lîŋ 12","lîŋ 12","leŋ 12","liŋ 12","liŋ 32","liəŋ 12"
1320,2406,"陳","臻開三平真澄","7115 2061","c̣hən 12","c̣hẽ 12","c̣hẽ 12","chəŋ 1","chən 12","chən 12","chən 12","zən 12","ʒaŋ 12","c̣ən 12","ʒ́in 12","chən 12","chən 12","čhan 12","tin 12","taŋ 12","tiŋ 12","zəŋ 32","čhiən 12"
1321,2407,"陸","通合三入屋來","7120 0827","lu 3","lu 3","lou 11","luəʔ 41","nou 12","nu 12","lɔʔ 4","loʔ 42","ləu 42","nôu 4","nəu 31","luk 41","lit 42","luk 42","liɔk 42","lek 42","lyʔ 42","loʔ 42","liu 43"
1322,2408,"陰","深開三平侵影","7113 2141","in 11","iẽ 11","iẽ 11","iŋ 1","in 11","in 11","ĩ 11","in 11","iaŋ 11","in 11","in 11","in 11","jim 11","jam 11","im 11","im 11","iŋ 11","iiŋ 1","iəm 1"
1323,2410,"陶","效開一平豪定","7118 1317","thau 12","thɔ 12","thau 12","thau 1","thau 12","thau 12","thɔ 12","dä 12","dз 12","tau 12","də 12","thau 12","thau 12","thou 12","to 12","thau 12","tɔ 12","tɔ 32","thau 12"
1324,2411,"陷","咸開二去陷匣","7119 1884","śian 3","śiã 3","śiã 3","śiɛ 3","śian 3","xan 3","xɛ̃ 3; śiɛ̃ 3  (lit.)","î 32","ɦa 32","xan 31","ɣã 32","han 32","ham 3","hām 32","ham 32","ham 32","xaŋ 32","iî 32","xiam 3"
1325,2414,"雪","山合三入薛心","7185 0395","śye 2","śye 11","śye 11","śyəʔ 41","śie 12","śye 12","śyəʔ 4","siôʔ 41","śy 41","sie 4","śyɛ 12","śyɔt 41","siɛt 41","šyt 43","suat 41 (lit.); seʔ 41","soʔ 41","suɔʔ 41","sîʔ 4","sye 42"
1326,2417,"章","宕開三平陽章","4545 2269","c̣aŋ 11","c̣aŋ 11","c̣aŋ 11","cã̲ 1","caŋ 11","caŋ 11","câŋ 11","ca̲ŋ 11","ći 11","c̣an 11","taŋ 11","cɔŋ 11","cɔŋ 11","čö̲ŋ 11","tiɔŋ 11 (lit.); tiũ 11","ciaŋ 11","cuɔŋ 11","cã̲ 1","čiaŋ 1"
1327,2418,"竟","梗開三去映見","4544 2571","ćiŋ 3","ćiŋ 3","ćiŋ 3","ćiŋ 3","ćin 3","ćiŋ 3","ćĩ 3","ćin 31","ćiaŋ 31","ćin 31","ćin 31","ćin 31","kin 2","kîŋ 21","kîŋ 31","keŋ 22","keiŋ 31","ćiŋ 1","kiəŋ 3"
1328,2419,"頂","梗開四上迥端","7307 2533","tiŋ 2","tiŋ 2","tiŋ 2","tiŋ 2","tin 2","tin 2","tĩ 2","tin 2","teŋ 21","tin 2","tin 2","tin 2","taŋ 2","tîŋ 21","tîŋ 2","teŋ 21","tiŋ 2","tiŋ 3","tiəŋ 2"
1329,2420,"頃","梗合三上靜溪","7308 2585","ćhiŋ 2","ćhiŋ 2","ćhiŋ 2","ćhiŋ 2","ćhyn 2","ćhyn 2","ćhĩ 2","ćhin 2","ćhyoŋ 21","ćhin 2","thuən 2","ćhin 2","khin 11","khîŋ 21","khîŋ 2","kheŋ 21","khiŋ 2","ćhiŋ 3","khyəŋ 2"
1330,2421,"魚","遇合三平魚疑","7625 0999","y 12","y 12","y 12","y 1","y 12","y 12","y 12","y 12","ŋo̲y 12","y 12","y 12","ńiɛ 31","ńi 12","jy 12","hu 12 (lit.); hi 12","hɨ 12","ŋy 12","y 32 (lit.); ŋ 32","iu 12"
1331,2422,"鳥","效開四上篠端","7680 1432","niau 2","ńiɔ 2","ńiau 2","niau 2","niau 2","ńiau 2","niɔ 2  (lit.); tiɔ 2","ńiä 2  (lit.); tiä 2","ńia 22 (lit.); tiɛ 21","ńiau 2  (lit.); tiau 2","ńiə 2  (lit.); tiə 2","ńiɛu 2","ńiau 11 (lit.); tiau 11","niu 22","niau 2","ciəu 21","leu 2  (lit.); ceu 2","ńiɔ 3  (lit.); tiɔ 3","niau 2"
1332,2424,"鹿","通合一入屋來","7773 0825","lu 3","lu 3","lou 11","luəʔ 41; luaʔ 41","nou 12","nu 12","lɔʔ 4","loʔ 42","ləu 42","nôu 4","nəu 12","luk 41","luk 42","luk 42","lɔk 42","tek 42","lyʔ 42 (lit.); löyʔ 42","loʔ 42","lu 43"
1333,2425,"麥","梗開二入麥明","7796 1042","mai 3","mei 3","mɛ 11","miəʔ 41","mô 12","me 12","mɔʔ 4","ma̲ʔ 42","ma 42","mô 4","","mak 41","mak 42","mak 42","bîk 42 (lit.); beʔ 41","beʔ 42","maʔ 42","maʔ 42","mai 43"
1334,2426,"麻","假開二平麻明","7802 0022","ma 12","ma 12","ma 12","ma 1","ma 12","ma 12","mai 12","mo 12","mo 12","ma 12","mû 12","ma 31","ma 12","ma 12","ma 12 (lit.); mã 12 (lit.); ba 12; muã 12","mua 12","ma 12","mo 32","ma 12"
1335,2428,"傅","遇合三去遇非","0265 0783","fu 3","fu 3","fu 3","fu 3","fu 3","fu 3","fu 3","fu 31","fo̲y 31","fu 31","xəu 31","фu 31","fu 3","fu 32","hu 31 (lit.); pɔ 31","hu 31","xu 31","fu 3","fu 3"
1336,2429,"備","止開三去至並","0271 1143","pei 3","pei 3","pi 3","pi 3","pei 3","pi 3","pəi 3","be̲ 32","bei 32","pei 31","bi 32","phəi 32 (lit.); phi 32","phi 3","pei 32","pi 32","pi 22","pei 32","pe̲ 32","pei 3"
1337,2430,"傑","山開三入薛群","0267 0344","ćie 12","ćie 12","ćie 12","ćiəʔ 42","ćie 12","ćie 12","ćiəʔ 4","ʒ́iôʔ 42","ʒ́i 42","ćhie 4","khiɛ 31","ćhiɛt 41","khiɛt 42","kit 42","kiat 42","kiek 42","kieʔ 42","ćîʔ 42","kie 41"
1338,2433,"傘","山開一上旱心","0270 1705","san 2","sã 2","sã 2","sä̃ 2","san 2","san 2","sɛ̃ 2","se̲ 2","sa 21","san 2","sã 2","san 2","san 2","šān 21","san 2  (lit.); suã 2","suã 31","saŋ 2","",""
1339,2435,"最","蟹合一去泰精","2584 1189","cuei 3","cuei 3","cuei 3","cuei 3","cei 3","cuei 3","cuəi 3","ce̲ 31","cai 31","cei 31","cui 31; cue 31","cui 31","cui 3","čö̲y 31","cue 31","cue 31","co̲y 31","cö 3","cuei 3"
1340,2437,"割","山開一入曷見","0480 0182","kô 11","kə 11","kô 11","kəʔ 41; kaʔ 41","ko 12","ko 12","kəʔ 4","kôʔ 41","ky 41","ko 4","kuɛ 12","kɔt 41","kɔt 41","kɔt 43","kat 41 (lit.); kuaʔ 41","kuaʔ 41","kaʔ 41","kôʔ 4","ko 42"
1341,2439,"創","宕開三去漾初","0482 2378","c̣huaŋ 3","c̣huaŋ 3","pfhaŋ 2","chuã̲ 3","chuaŋ 2","chuaŋ 3","chuâŋ 3","cha̲ŋ 2","chɔ 31","ćhyan 2","chõ 31","chɔŋ 2","chɔŋ 2","čhɔŋ 31","cɔŋ 31 (lit.); cɔŋ 11","chaŋ 31","chauŋ 31","chã̲ 3","čhuaŋ 3"
1342,2440,"剩","曾開三去證船","0476 2489","ṣəŋ 3","ṣəŋ 3","ṣəŋ 3","səŋ 3","sən 3","sən 3","sən 3","zən 32 (lit.); zaŋ 32","ʒeŋ 32","ṣən 31","ɣin 32","sən 32","sɛn 3","čîŋ 32","sîŋ 32 (lit.); sin 32","seŋ 32","siŋ 12","zəŋ 32","šiəŋ 3"
1343,2441,"勞","效開一平豪來","0525 1325","lau 12","lɔ 12","lau 12","lau 1","nau 12","nau 12","lɔ 12","lä 12","lз 12","nau 12","nə 12","lau 31","lau 12","lou 12","lo 12","lau 12","lɔ 12","lɔ 32","lau 12; lau 3"
1344,2442,"勝","曾開三去證書","5159 2491","ṣəŋ 3","ṣəŋ 3","ṣəŋ 3","səŋ 3","sən 3","sən 3","sən 3","sən 31","seŋ 31","ṣən 31","śin 31","sən 31","sɛn 3","šîŋ 31","sîŋ 31","seŋ 31","seiŋ 31","səŋ 3","šiəŋ 3"
1345,2444,"博","宕開一入鐸幫","0590 0222","po 12","pə 11","po 11","paʔ 41; pəʔ 41","po 12","po 12","pâʔ 4","poʔ 41","po 41","po 4","pû 12","pɔk 41","pɔk 41","pɔk 43","phɔk 41 (lit.); phaûʔ 41","phak 41","puɔʔ 41","poʔ 4","pau 41"
1346,2449,"啼","蟹開四平齊定","0805 0585","thi 12","thi 12","thi 12","thi 1","thi 12","thi 12","thi 12","di 12","dei 12","ti 12","di 12","thi 12","thai 12","thai 12","te 11","thi 12","thɛ 12","ti 32","thi 12"
1347,2450,"喊","咸開一上敢曉","0815 1757","xan 2","xã 2","xã 2","xä̃ 2","xan 2","xan 2","xɛ̃ 2","he̲ 31","xa 21","xan 2","xã 2","han 2","ham 3","hām 31","ham 2","ham 31","xaŋ 2","he̲ 3","xiam 2"
1348,2452,"喘","山合三上獼昌","0820 1947","c̣huan 2","c̣huã 2","pfhã 2","chuä̃ 2","than 3","chuai 2","chuõ 2","chö 2","ćhy 21","ćhyẽ 2","thuĩ 2","chɔn 2","chɔn 2","čhyn 21","chun 2  (lit.); chuan 2","chueŋ 21","chuaŋ 2","chö 3","čhyen 2"
1349,2454,"喜","止開三上止曉","0823 0701","śi 2","śi 2","śi 2","śi 2","śi 2","śi 2","śi 2","śi 2","si̲ 21","śi 2","śi 2","śi 2","hi 2","hei 21","hi 2","hi 21","xi 2","śi 3","xi 2"
1350,2455,"喪","A: 宕開一平唐心; B: 宕開一去宕心","A: 0828 2265; B: 0828 2267","A: saŋ 11; B: saŋ 3","A: saŋ 11; B: saŋ 3","A: saŋ 11; B: saŋ 3","A: sã̲ 1; B: sã̲ 3","A: saŋ 11; B: saŋ 3","A: saŋ 11; B: saŋ 3","A: sâŋ 11; B: sâŋ 3","A: sa̲ŋ 11; B: sa̲ŋ 31","A: sɔ 11; B: sɔ 31","A: san 11; B: san 31","A: saŋ 11; B: saŋ 31","A: sɔŋ 11; B: sɔŋ 31","A: sɔŋ 11; B: sɔŋ 3","A: sɔŋ 11; B: sɔŋ 31","A: sɔŋ 11; B: sɔŋ 31","A: sɨŋ 11; B: saŋ 31","A: souŋ 11; B: sauŋ 31","A: sã̲ 1; B: sã̲ 1","A: saŋ 1; B: saŋ 3"
1351,2461,"單","山開一平寒端","0830 1659","tan 11","tã 11","tã 11","tä̃ 1","tan 11","tan 11","tɛ̃ 11","te̲ 11","ta 11","tan 11","tã 11","tan 11","tan 11","tān 11","tan 11 (lit.); tuã 11","tuã 11","taŋ 11","te̲ 1","tan 1"
1352,2465,"喚","山合一去換曉","0822 1972","xuan 3","xuã 3","xuã 3","xuä̃ 3","xuan 3","xuan 3","xuõ 3","huö 31","śy 31","xõ 31","xuɛ̃ 31","фuɔn 32","fan 3","uun 32","huan 31","hueŋ 31","xuaŋ 31","huö 1","xon 3"
1353,2466,"喻","遇合三去遇以","0827 1018","y 3","y 3","y 3","y 3","y 3","y 3","y 3","y 32","ɦu 32","y 31","y 12","y 32","ji 3","jy 32","lu 32","zu 22","y 32","y 32",""
1354,2467,"喬","效開三平宵群","0829 1466","ćhiau 12","ćhiɔ 12","ćhiau 12","ćhiau 1","ćhiau 12","ćhiau 12","ćiɔ 12","ʒ́iä 12","ʒ́iɛ 12","ćiau 12","ʒ́iə 12","ćhiɛu 12","khiau 12","khiu 12","kiau 12","khiəu 12","kieu 12","ćiɔ 32","khiau 12"
1355,2470,"喉","流開一平侯匣","0814 1564","xou 12","xou 12","xou 12","xou 1","xou 12","xəu 12","xôɨ 12","ɦöy 12","ɦau 12","xôu 12","ɣie 12","hɛu 12","hɛu 12","hau 12","hɔ 12; au 12","au 12","xeu 12","ɦô 32","xou 12"
1356,2473,"圍","止合三平微云","0953 1249","uei 12","uei 12","uei 12","vei 1","uei 12","uei 12","uəi 12","ɦue̲ 12","vu 12","uei 12","ui 12","ui 31","vi 12","uai 12","ui 12","ui 12","uei 12","ue̲ 32","uei 12"
1357,2475,"堪","咸開一平覃溪","1030 1747","khan 11","khã 11","khã 11","khä̃ 1","khan 11","khan 11","khɛ̃ 11","khö 11","khö 11","khan 11","khuɛ̃ 11","khɔn 11","kham 11","ham 11","kham 11","kham 11","khaŋ 11","khe̲ 3","kham 1"
1358,2476,"場","宕開三平陽澄","1034 2282","c̣haŋ 2; c̣haŋ 12","c̣haŋ 2","c̣haŋ 12","chã̲ 2","chaŋ 2","chaŋ 12","châŋ 12; châŋ 2","zaŋ 12","ʒ́i 12","c̣an 12","daŋ 12","chɔŋ 12","chɔŋ 12","čhö̲ŋ 12","tiɔŋ 12 (lit.); tiũ 12","tiẽ 12","tuɔŋ 12","zã 32","čiaŋ 12"
1359,2477,"堤","蟹開四平齊端","1029 0566","ti 11","ti 11","thi 11","thi 1","thi 12","thi 12","thi 12","di 12","dei 12","ti 12","di 12","thi 12","thi 12","thai 12","te 11","toi 11","ti 12","ti 32","ti 1"
1360,2479,"報","效開一去號幫","1032 1277","pau 3","pɔ 3","pau 2","pau 3","pau 3","pau 3","pɔ 3","pä 31","pз 31","pau 31","pə 31","pau 31","pau 3","pou 31","po 31","po 31","pɔ 31","pɔ 3","pau 3"
1361,2480,"堡","效開一上皓幫","1027 1275","phu 2; pau 2","pɔ 2; phu 2","pau 2","pau 2; pu 2","pau 2","pau 2; phu 2","pɔ 2","pä 2","pз 21","pau 2","pə 2","pau 2","pau 2","pou 21","po 2","pau 21; po 21","pɔ 2","pɔ 3","pau 2"
1362,2484,"壺","遇合一平模匣","1106 0928","xu 12","xu 12","xu 12","xu 1","xu 12","fu 12","xu 12","ɦəu 12","vu 12","fu 12","ɣəu 12","фu 31","fu 12","uu 12","hɔ 12","hu 12","xu 12","ɦu 32","xu 12"
1363,2488,"婿","蟹開四去霽心","1107 0996","śy 3","śy 3","śi 11","śy 3","śi 3","śi 3","śy 3","si 11","sei 31","si 12","śi 12","śy 11","sɛ 3","šai 31","se 31 (lit.); sai 31","sai 31","sa 31","sy 3","si 3"
1364,2489,"媒","蟹合一平灰明","1252 1152","mei 12","mei 12","mei 12","mei 1","mei 12","mei 12","məi 12","me̲ 12","mai 12","mei 12","mie 12","məi 31","mɔi 12","mui 12","muĩ 12 (lit.); hm 12","bue 12","muei 12","me̲ 32","mei 12"
1365,2494,"寒","山開一平寒匣","1383 1755","xan 12","xã 12","xã 12","xä̃ 1","xan 12","xan 12","xɛ̃ 12","ɦö 12","ɦy 12","xan 12","ɣuɛ̃ 12","hɔn 12","hɔn 12","hɔn 12","han 12 (lit.); kuã 12","haŋ 12","xaŋ 12","ɦö 32","xan 12"
1366,2495,"富","流開三去宥非","1381 0786","fu 3","fu 3","fu 3","fu 3","fu 3","fu 3","fu 3","fu 31","fo̲y 31","fu 31","xəu 31","фu 31","fu 3","fu 31","hu 31 (lit.); pu 31","pu 31","xu 31","fu 3","fu 3"
1367,2496,"寓","遇合三去遇疑","1384 1016","y 3","y 3","y 3","y 3","y 3","y 3","y 3","ńy 32","ńy 32","y 32","ńy 32","y 32","ńi 12","jy 32","gu 32","ŋo 22","ŋy 32","ńy 32",""
1368,2498,"尊","臻合一平魂精","1415 2165","cuən 11","cuẽ 11","cuẽ 11","cuŋ 1","cən 11","cən 11","cuən 11","cən 11","caŋ 11","cən 11","cuən 11","cun 11","cun 11","čyn 11","cun 11","cuŋ 11","couŋ 11","cəŋ 1","cuən 1"
1369,2499,"尋","深開三平侵邪","1416 2208","śyn 12","śyẽ 12","śyẽ 12","śyŋ 1","śin 12","śyn 12","ćyĩ 12","zin 12","zaŋ 12","cin 12","ʒ́in 12","śyn 31","chim 12","čham 12","sim 12","chim 12","siŋ 12","ziŋ 32","siəm 12"
1370,2502,"就","流開三去宥從","1432 1595","ćiou 3","ćiou 3","ćiou 3","ćiou 3","ćiou 3","ćiəu 3","ćiôɨ 3","zöy 32","ɦiu 32","ciôu 32","ʒ́iû 32","ćiu 32","chiu 3","čau 32","ciu 32","ciu 22","kieu 32","ziɨ 32",""
1371,2509,"帽","效開一去號明","1604 1297","mau 3","mɔ 3","mau 3","mau 3","mau 3","mau 3","mɔ 3","mä 32","mз 32","mau 31 (lit.); mau 32","mə 31 (lit.); mə 32","mau 32","mau 3","mou 32","bo 32","bo 32","mɔ 32","mɔ 32","mau 3"
1372,2512,"幾","A: 止開三上尾見; B: 止開三平微見","A: 0415 0645; B: 1637 0626","A: ći 2; B: ći 11","A: ći 2; B: ći 11","A: ći 2; B: ći 11","A: ći 2; B: ći 1","A: ći 2; B: ći 11","A: ći 2; B: ći 11","A: ći 2; B: ći 11","A: ći 2; B: ći 11","A: ci̲ 21; B: ci̲ 11","A: ći 2; B: ći 11","A: ći 2; B: ći 11","A: ći 2; B: ći 2","A: ki 2; B: ki 11","A: kei 21; B: kei 11","A: ki 2; B: ki 11","A: ki 21; B: ki 11","A: ki 2; B: ki 11","A: ći 3; B: ći 1","A: ki 2; B: ki 1"
1373,2514,"廊","宕開一平唐來","1671 2255","laŋ 12","laŋ 12","laŋ 12","lã̲ 1","naŋ 12","naŋ 12","lâŋ 11","la̲ŋ 12","lɔ 12","nan 12","naŋ 12","lɔŋ 31","lɔŋ 12","lɔŋ 12","lɔŋ 12 (lit.); nŋ 12","laŋ 12","louŋ 12","",""
1374,2515,"廁","止開三去志初","0627 0151","chô 3","chə 3","chei XH","chaʔ 41; chəʔ 41 (lit.)","chô 12","che 12","chəʔ 4; chi̲ 3  (lit.)","chi̲ 31","che̲ 41","chi̲ 31 (lit.); chô 4","chi̲ 31","chɛt 41","chɛt 41","čhak 41","che 31","che 31","chaiʔ 41","chôʔ 4","čhi̲ 3"
1375,2516,"廂","宕開三平陽心","1666 2342","śiaŋ 11","śiaŋ 11","śiaŋ 11","śiã̲ 1","śiaŋ 11","śiaŋ 11","śiâŋ 11","siaŋ 11","śi 11","sian 11","śiaŋ 11","śiɔŋ 11","siɔŋ 11","šö̲ŋ 11","siɔŋ 11 (lit.); siũ 11","siaŋ 11","suɔŋ 11","",""
1376,2519,"彭","梗開二平庚並","1756 2411","phəŋ 12","phəŋ 12","phəŋ 12","phəŋ 1","phən 12","phən 12","phɔuŋ 12","bən 12 (lit.); baŋ 12","biɛ 12","pən 12","biə̃ 12","phaŋ 12","phaŋ 12","phāŋ 12","phîŋ 12 (lit.); phĩ 12","phẽ 12","paŋ 12","pã 32","phuŋ 12"
1377,2520,"復","通合三入屋奉","1788 0792","fu 3","fu 11","fu 11","fəʔ 42","fu 12","fu 12","fɔʔ 4","voʔ 42","vu 42","fu 4","xəu 12","фuk 41","fuk 41","fuk 42","hɔk 42 (lit.); hɔk 41 (lit.); hiu 32","hok 42","xuʔ 42","voʔ 42","fu 42"
1378,2521,"循","臻合三平諄邪","1789 2209","śyn 12","śyẽ 12","śyẽ 12","śyŋ 1","śyn 12","śyn 12","śyĩ 12","zin 12","ɦyoŋ 12","sən 12","ʒuən 12","śyn 31","sun 12","čö̲n 12","sun 12","suŋ 12","suŋ 12","",""
1379,2524,"惡","A: 宕開一入鐸影; B: 遇合一去暮影","A: 1921 0215; B: 1921 0944","A: ô 3; B: u 3","A: ŋə 11; B: u 3","A: ŋô 11; B: u 3","A: ŋəʔ 41; B: vu 3","A: ŋo 12; B: u 3","A: ŋo 12; B: vu 3","A: aʔ 4; B: u 3","A: oʔ 41; B: əu 31","A: o 41; B: o 32","A: o 4; B: u 31","A: û 12; B: əu 31","A: ŋɔk 41; B: u 31","A: ɔk 41; B: vu 3","A: ɔk 43; B: uu 31","A: ɔk 41 (lit.); oʔ 41; B: ɔ 31","A: ak 41; B: u 31","A: auʔ 41; B: ou 32","A: oʔ 4; B: oʔ 4","A: o 43; B:"
1380,2525,"悲","止開三平脂幫","1896 1135","pei 11","pei 11","pe 2","pei 1","pei 11","pei 11","pəi 11","pe̲ 11","pai 11","pei 11","pie 11","pəi 11","pi 11","pei 11","pi 11","pui 11","pi 11","pei 1","pei 1"
1381,2526,"悶","臻合一去慁明","1899 2033","mən 3","mẽ 3","mẽ 3","məŋ 3","mən 3","mən 3","mən 3","mən 32","maŋ 32","mən 31","min 2","man 32","mɛn 2","mun 31","bun 32","buŋ 32","mouŋ 32","məŋ 1","man 3"
1382,2527,"惠","蟹合四去霽匣","1920 1239","xuei 3","xuei 3","xuei 3","xuei 3","xuei 3","xuei 3","xuəi 3","ɦue̲ 32","vu 32","fei 31","ɣui 32","hui 32","fi 3","uai 32","hui 32","hui 22","xie 32","ue̲ 32","xuei 3"
1383,2532,"惰","果合一上果定","1924 0253","tuo 3","tuə 3","tuo 3","tuə 3","to 3","to 3","to 3","dəu 32","du 22","to 31","dû 32","tho 32","thɔ 3","tɔ 32","to 32 (lit.); tuã 32","to 22","tɔ 32","tu 32","tuo 3"
1384,2535,"慨","蟹開一去代溪","1980 1104","khai 2","khɛ 2","khɛ 2","khai 2","khai 2","khai 2","khɛ 2","khe̲ 31","khe̲ 31","khai 31","khue 31","khai 2","khɔi 2","khɔi 31","khai 31","khai 31","khai 31","ke̲ 3","khai 3"
1385,2536,"惱","效開一上皓泥","1925 1322","nau 2","nɔ 2","nau 2","nau 2","nau 2","nau 2","nɔ 2","nä 32","nз 22","nau 2","nə 2","lau 2","nau 2","nou 22","lo 2  (lit.); naũ 2","nau 21","nɔ 2","",""
